"dataset";"dataset.name";"public?";"coauthor.1";"coauthor.2";"agreement.sent";"agreement.received";"remarks";"dataset.identified.from";"Included.final.analysis";"reason";"system";"taxa";"group";"old_classification";"disturbance";"description";"source";"start_year";"end_year";"original_year";"Measurement";"reference";"Remark_MG";"obs";"obs2"
"1";"b01";"barbaro_birds_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"Caio distance decay";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"The study was located in plantation forests that cover around 1 million ha in the Landes de Gascogne region, south-western France. The landscape is dominated by even-aged stands of native maritime pine with a rotation cycle of 40–50 yr. Such a forest management creates mosaic landscapes composed of even-aged pine stands interspersed with recent clearcuts covered by grassland or heathland vegetation, and fragments of semi-natural habitats.";"Google earth images and ref.";2002;2003;NA;"abundance";"Barbaro, L., & Van Halder, I. (2009). Linking bird, carabid beetle and butterfly life_history traits to habitat fragmentation in mosaic landscapes. Ecography, 32(2), 321-333.";NA;NA;NA
"2";"b02";"barbaro_birds_2";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"Caio distance decay";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"The study area was the volcanic Banks Peninsula located on the east coast of the South Island, New Zealand, covering an area of ca. 1,000 km_ and peaking at 920 m asl. Banks Peninsula was almost entirely forested until the arrival of European settlers in ca. 1840 which was followed by rapid and large-scale deforestation leading to 90 % deforestation by the early twentieth century. Recently there has been a considerable increase of regenerating native scrub and forests, notably in reserve areas and along streams. However, old-growth native forests remaining today represent only ca. 1 % of their pre-human extent and the main native forests are currently regenerating kanuka (Kunzea ericoides), and mixed hardwood forests. The main other habitats are exotic grasslands mostly grazed by sheep and covering ca. 50 % of the area; exotic shrublands dominated by gorse (Ulex europaeus) and broom (Cytisus scoparius); and exotic plantation forests, mainly of Pinus radiata, covering ca. 2 % of the present area. Within the study area, we selected 13 native forest fragments ranging in size from 0.5 to 141 ha and located in various protected areas, including scenic reserves";"Google earth images and ref.";2010;2011;NA;"abundance";"Barbaro, L., Brockerhoff, E. G., Giffard, B., & Van Halder, I. (2012). Edge and area effects on avian assemblages and insectivory in fragmented native forests. Landscape ecology, 27(10), 1451-1463";NA;NA;NA
"3";"ta36";"barber_beetles";"NO";"nbarber@sdsu.edu";"NA";"yes";"yes";"NA";"Google Scholar search";"YES";NA;"terrestrial";"insect";"invertebrate";"agriculture";"agriculture";"The study was conducted at Nachusa Grasslands, a large-scale restoration project owned and managed by The Nature Conservancy (TNC). Most of the preserve contains restored tallgrass prairies with interspersed remnants that were never ploughed. Restoration of agricultural fields (generally corn/soy rotation) to diverse native grassland vegetation began in 1987. Restoration and management techniques have remained consistent across the preserve, including seeding with locally collected seeds and prescribed burns on a 1–3 years rotation.";"Google earth images and ref.";2013;2013;NA;"abundance";"Barber, N. A., Lamagdeleine-Dent, K. A., Willand, J. E., Jones, H. P., & McCravy, K. W. (2017). Species and functional trait re-assembly of ground beetle communities in restored grasslands. Biodiversity and Conservation, 26, 3481-3498.";NA;NA;NA
"4";"b08";"bdm_birds";"NO";"NA";"NA";"NA";"NA";"received from Florian. CHECK WITH FLORIAN";"Florian suggested";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"Data comes from the Biodiversity Monitoring program of switzerland and covers the whole country, from the urban areas across grassland and forests";"Google earth images";2018;2018;NA;"abundance";NA;"Agreed, its \"multiple\"";NA;NA
"5";"ta33";"bdm_butterflies";"NO";"NA";"NA";"NA";"NA";"received from Florian. CHECK WITH FLORIAN";"Florian suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"varying";"multiple";"Data comes from the Biodiversity Monitoring program of switzerland and covers the whole country, from the urban areas across grassland and forests";"Google earth images";2016;2020;NA;"abundance";NA;"Agreed, its \"multiple\"";NA;NA
"6";"ta01";"bettergardens_bowltrap_apidae";"NO";"marco.moretti@wsl.ch";"NA";"NA";"NA";"coauthor part of the original BGB project; agreement not needed";"Martin suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"The study took place in urban gardens in the city of Zurich, Switzerland. Zurich lies in the temperate climate zone with mean annual temperature of 9.3_°C (1981–2010) and mean annual precipitation of 1134_mm. With an area of approximately 92_km2 and a population of 0.4 million citizen it belongs to the globally most common city class and is therefore an ideal system to study BEF relationships in urban environments. We selected 42 allotment and 43 home gardens, representing the two most common urban garden types worldwide. Allotment gardens are cultivated lots of land in an urban area, normally used for recreational purposes or the cultivation of fruits, vegetables and flowers.";"Google earth images and ref.";2015;2015;NA;"abundance";"Tresch, S., Frey, D., Le Bayon, R. C., Zanetta, A., Rasche, F., Fliessbach, A., & Moretti, M. (2019). Litter decomposition driven by soil fauna, plant diversity and soil management in urban gardens. Science of the Total Environment, 658, 1614-1629.";NA;NA;NA
"7";"ta02";"bettergardens_bowltrap_carabidae";"NO";"marco.moretti@wsl.ch";"NA";"NA";"NA";"coauthor part of the original BGB project; agreement not needed";"Martin suggested";"NO";"low species richness";"terrestrial";"insect";"invertebrate";"urban";"urban";"The study took place in urban gardens in the city of Zurich, Switzerland. Zurich lies in the temperate climate zone with mean annual temperature of 9.3_°C (1981–2010) and mean annual precipitation of 1134_mm. With an area of approximately 92_km2 and a population of 0.4 million citizen it belongs to the globally most common city class and is therefore an ideal system to study BEF relationships in urban environments. We selected 42 allotment and 43 home gardens, representing the two most common urban garden types worldwide. Allotment gardens are cultivated lots of land in an urban area, normally used for recreational purposes or the cultivation of fruits, vegetables and flowers.";"Google earth images and ref.";2015;2015;NA;"abundance";"Tresch, S., Frey, D., Le Bayon, R. C., Zanetta, A., Rasche, F., Fliessbach, A., & Moretti, M. (2019). Litter decomposition driven by soil fauna, plant diversity and soil management in urban gardens. Science of the Total Environment, 658, 1614-1629.";NA;NA;NA
"8";"ta03";"bettergardens_bowltrap_heteroptera";"NO";"marco.moretti@wsl.ch";"NA";"NA";"NA";"coauthor part of the original BGB project; agreement not needed";"Martin suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"The study took place in urban gardens in the city of Zurich, Switzerland. Zurich lies in the temperate climate zone with mean annual temperature of 9.3_°C (1981–2010) and mean annual precipitation of 1134_mm. With an area of approximately 92_km2 and a population of 0.4 million citizen it belongs to the globally most common city class and is therefore an ideal system to study BEF relationships in urban environments. We selected 42 allotment and 43 home gardens, representing the two most common urban garden types worldwide. Allotment gardens are cultivated lots of land in an urban area, normally used for recreational purposes or the cultivation of fruits, vegetables and flowers.";"Google earth images and ref.";2015;2015;NA;"abundance";"Tresch, S., Frey, D., Le Bayon, R. C., Zanetta, A., Rasche, F., Fliessbach, A., & Moretti, M. (2019). Litter decomposition driven by soil fauna, plant diversity and soil management in urban gardens. Science of the Total Environment, 658, 1614-1629.";NA;NA;NA
"9";"ta04";"bettergardens_bowltrap_homoptera";"NO";"marco.moretti@wsl.ch";"NA";"NA";"NA";"coauthor part of the original BGB project; agreement not needed";"Martin suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"The study took place in urban gardens in the city of Zurich, Switzerland. Zurich lies in the temperate climate zone with mean annual temperature of 9.3_°C (1981–2010) and mean annual precipitation of 1134_mm. With an area of approximately 92_km2 and a population of 0.4 million citizen it belongs to the globally most common city class and is therefore an ideal system to study BEF relationships in urban environments. We selected 42 allotment and 43 home gardens, representing the two most common urban garden types worldwide. Allotment gardens are cultivated lots of land in an urban area, normally used for recreational purposes or the cultivation of fruits, vegetables and flowers.";"Google earth images and ref.";2015;2015;NA;"abundance";"Tresch, S., Frey, D., Le Bayon, R. C., Zanetta, A., Rasche, F., Fliessbach, A., & Moretti, M. (2019). Litter decomposition driven by soil fauna, plant diversity and soil management in urban gardens. Science of the Total Environment, 658, 1614-1629.";NA;NA;NA
"10";"ta05";"bettergardens_bowltrap_syrphidae";"NO";"marco.moretti@wsl.ch";"NA";"NA";"NA";"coauthor part of the original BGB project; agreement not needed";"Martin suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"The study took place in urban gardens in the city of Zurich, Switzerland. Zurich lies in the temperate climate zone with mean annual temperature of 9.3_°C (1981–2010) and mean annual precipitation of 1134_mm. With an area of approximately 92_km2 and a population of 0.4 million citizen it belongs to the globally most common city class and is therefore an ideal system to study BEF relationships in urban environments. We selected 42 allotment and 43 home gardens, representing the two most common urban garden types worldwide. Allotment gardens are cultivated lots of land in an urban area, normally used for recreational purposes or the cultivation of fruits, vegetables and flowers.";"Google earth images and ref.";2015;2015;NA;"abundance";"Tresch, S., Frey, D., Le Bayon, R. C., Zanetta, A., Rasche, F., Fliessbach, A., & Moretti, M. (2019). Litter decomposition driven by soil fauna, plant diversity and soil management in urban gardens. Science of the Total Environment, 658, 1614-1629.";NA;NA;NA
"11";"mo01";"bettergardens_gastropoda";"NO";"marco.moretti@wsl.ch";"NA";"NA";"NA";"coauthor part of the original BGB project; agreement not needed";"Martin suggested";"YES";NA;"terrestrial";"gastropod";"invertebrate";"urban";"urban";"The study took place in urban gardens in the city of Zurich, Switzerland. Zurich lies in the temperate climate zone with mean annual temperature of 9.3_°C (1981–2010) and mean annual precipitation of 1134_mm. With an area of approximately 92_km2 and a population of 0.4 million citizen it belongs to the globally most common city class and is therefore an ideal system to study BEF relationships in urban environments. We selected 42 allotment and 43 home gardens, representing the two most common urban garden types worldwide. Allotment gardens are cultivated lots of land in an urban area, normally used for recreational purposes or the cultivation of fruits, vegetables and flowers.";"Google earth images and ref.";2015;2015;NA;"abundance";"Tresch, S., Frey, D., Le Bayon, R. C., Zanetta, A., Rasche, F., Fliessbach, A., & Moretti, M. (2019). Litter decomposition driven by soil fauna, plant diversity and soil management in urban gardens. Science of the Total Environment, 658, 1614-1629.";NA;NA;NA
"12";"ta06";"bettergardens_pitfall_araneae";"NO";"marco.moretti@wsl.ch";"NA";"NA";"NA";"coauthor part of the original BGB project; agreement not needed";"Martin suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"The study took place in urban gardens in the city of Zurich, Switzerland. Zurich lies in the temperate climate zone with mean annual temperature of 9.3_°C (1981–2010) and mean annual precipitation of 1134_mm. With an area of approximately 92_km2 and a population of 0.4 million citizen it belongs to the globally most common city class and is therefore an ideal system to study BEF relationships in urban environments. We selected 42 allotment and 43 home gardens, representing the two most common urban garden types worldwide. Allotment gardens are cultivated lots of land in an urban area, normally used for recreational purposes or the cultivation of fruits, vegetables and flowers.";"Google earth images and ref.";2015;2015;NA;"abundance";"Tresch, S., Frey, D., Le Bayon, R. C., Zanetta, A., Rasche, F., Fliessbach, A., & Moretti, M. (2019). Litter decomposition driven by soil fauna, plant diversity and soil management in urban gardens. Science of the Total Environment, 658, 1614-1629.";NA;NA;NA
"13";"ta07";"bettergardens_pitfall_carabidae";"NO";"marco.moretti@wsl.ch";"NA";"NA";"NA";"coauthor part of the original BGB project; agreement not needed";"Martin suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"The study took place in urban gardens in the city of Zurich, Switzerland. Zurich lies in the temperate climate zone with mean annual temperature of 9.3_°C (1981–2010) and mean annual precipitation of 1134_mm. With an area of approximately 92_km2 and a population of 0.4 million citizen it belongs to the globally most common city class and is therefore an ideal system to study BEF relationships in urban environments. We selected 42 allotment and 43 home gardens, representing the two most common urban garden types worldwide. Allotment gardens are cultivated lots of land in an urban area, normally used for recreational purposes or the cultivation of fruits, vegetables and flowers.";"Google earth images and ref.";2015;2015;NA;"abundance";"Tresch, S., Frey, D., Le Bayon, R. C., Zanetta, A., Rasche, F., Fliessbach, A., & Moretti, M. (2019). Litter decomposition driven by soil fauna, plant diversity and soil management in urban gardens. Science of the Total Environment, 658, 1614-1629.";NA;NA;NA
"14";"ta08";"bettergardens_pitfall_heteroptera";"NO";"marco.moretti@wsl.ch";"NA";"NA";"NA";"coauthor part of the original BGB project; agreement not needed";"Martin suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"The study took place in urban gardens in the city of Zurich, Switzerland. Zurich lies in the temperate climate zone with mean annual temperature of 9.3_°C (1981–2010) and mean annual precipitation of 1134_mm. With an area of approximately 92_km2 and a population of 0.4 million citizen it belongs to the globally most common city class and is therefore an ideal system to study BEF relationships in urban environments. We selected 42 allotment and 43 home gardens, representing the two most common urban garden types worldwide. Allotment gardens are cultivated lots of land in an urban area, normally used for recreational purposes or the cultivation of fruits, vegetables and flowers.";"Google earth images and ref.";2015;2015;NA;"abundance";"Tresch, S., Frey, D., Le Bayon, R. C., Zanetta, A., Rasche, F., Fliessbach, A., & Moretti, M. (2019). Litter decomposition driven by soil fauna, plant diversity and soil management in urban gardens. Science of the Total Environment, 658, 1614-1629.";NA;NA;NA
"15";"ta09";"bettergardens_pitfall_homoptera";"NO";"marco.moretti@wsl.ch";"NA";"NA";"NA";"coauthor part of the original BGB project; agreement not needed";"Martin suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"The study took place in urban gardens in the city of Zurich, Switzerland. Zurich lies in the temperate climate zone with mean annual temperature of 9.3_°C (1981–2010) and mean annual precipitation of 1134_mm. With an area of approximately 92_km2 and a population of 0.4 million citizen it belongs to the globally most common city class and is therefore an ideal system to study BEF relationships in urban environments. We selected 42 allotment and 43 home gardens, representing the two most common urban garden types worldwide. Allotment gardens are cultivated lots of land in an urban area, normally used for recreational purposes or the cultivation of fruits, vegetables and flowers.";"Google earth images and ref.";2015;2015;NA;"abundance";"Tresch, S., Frey, D., Le Bayon, R. C., Zanetta, A., Rasche, F., Fliessbach, A., & Moretti, M. (2019). Litter decomposition driven by soil fauna, plant diversity and soil management in urban gardens. Science of the Total Environment, 658, 1614-1629.";NA;NA;NA
"16";"b03";"bexis_forest_birds";"YES";"NA";"NA";"NA";"NA";"BEXIS dataset 31521 (Bird survey and trait data on all grassland and forest EPs 2018) (previously not public but now public)";"Martin suggested";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"The data comes from the Biodiversity Explotatories project which was sampled across three different regions of germany. A set of plots sampled in the same region is called an exploratory. Within each exploratory, there are three hierarchical levels of study plots, on which research of different intensity and detail is conducted: (1) about 1000 grid plots (GPs), 500 in grasslands and 500 in forests, which are mainly used for large-scale analyses of biodiversity data and their relationships to land use and other environmental factors, (2) 100 experimental plots (EPs), 50 in grasslands and 50 in forests, which are a selected subset of the respective grid plots serving as a platform for more thorough biodiversity assessment and environmental monitoring, as well as for several manipulative experiments, and (3) 18 very intensive plots (VIPs), half in grasslands and half in forests, which are a subset of the experimental plots used for studying biodiversity or ecological processes in extreme detail or requiring very labour-intensive methods, for which the use of the experimental plots is not feasible. Here, we focused on the level (2) and used the 50 plots of each region combined (N=150 sites), but separated the land use type into forest datasets and grassland datasets.";"Google earth images and ref.";2018;2018;NA;"abundance";"Fischer, M., Bossdorf, O., Gockel, S., Hänsel, F., Hemp, A., Hessenmöller, D., ... & Weisser, W. W. (2010). Implementing large-scale and long-term functional biodiversity research: The Biodiversity Exploratories. Basic and applied Ecology, 11(6), 473-485.";NA;NA;NA
"17";"ta11";"bexis_forest_flightinterceptioncanopy_beetles";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"insect";"invertebrate";"forestry";"forest";"The data comes from the Biodiversity Explotatories project which was sampled across three different regions of germany. A set of plots sampled in the same region is called an exploratory. Within each exploratory, there are three hierarchical levels of study plots, on which research of different intensity and detail is conducted: (1) about 1000 grid plots (GPs), 500 in grasslands and 500 in forests, which are mainly used for large-scale analyses of biodiversity data and their relationships to land use and other environmental factors, (2) 100 experimental plots (EPs), 50 in grasslands and 50 in forests, which are a selected subset of the respective grid plots serving as a platform for more thorough biodiversity assessment and environmental monitoring, as well as for several manipulative experiments, and (3) 18 very intensive plots (VIPs), half in grasslands and half in forests, which are a subset of the experimental plots used for studying biodiversity or ecological processes in extreme detail or requiring very labour-intensive methods, for which the use of the experimental plots is not feasible. Here, we focused on the level (2) and used the 50 plots of each region combined (N=150 sites), but separated the land use type into forest datasets and grassland datasets.";"Google earth images and ref.";2008;2008;NA;"abundance";"Fischer, M., Bossdorf, O., Gockel, S., Hänsel, F., Hemp, A., Hessenmöller, D., ... & Weisser, W. W. (2010). Implementing large-scale and long-term functional biodiversity research: The Biodiversity Exploratories. Basic and applied Ecology, 11(6), 473-485.";NA;NA;NA
"18";"ta12";"bexis_forest_flightinterceptionunderstory_beetles";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"insect";"invertebrate";"forestry";"forest";"The data comes from the Biodiversity Explotatories project which was sampled across three different regions of germany. A set of plots sampled in the same region is called an exploratory. Within each exploratory, there are three hierarchical levels of study plots, on which research of different intensity and detail is conducted: (1) about 1000 grid plots (GPs), 500 in grasslands and 500 in forests, which are mainly used for large-scale analyses of biodiversity data and their relationships to land use and other environmental factors, (2) 100 experimental plots (EPs), 50 in grasslands and 50 in forests, which are a selected subset of the respective grid plots serving as a platform for more thorough biodiversity assessment and environmental monitoring, as well as for several manipulative experiments, and (3) 18 very intensive plots (VIPs), half in grasslands and half in forests, which are a subset of the experimental plots used for studying biodiversity or ecological processes in extreme detail or requiring very labour-intensive methods, for which the use of the experimental plots is not feasible. Here, we focused on the level (2) and used the 50 plots of each region combined (N=150 sites), but separated the land use type into forest datasets and grassland datasets.";"Google earth images and ref.";2008;2008;NA;"abundance";"Fischer, M., Bossdorf, O., Gockel, S., Hänsel, F., Hemp, A., Hessenmöller, D., ... & Weisser, W. W. (2010). Implementing large-scale and long-term functional biodiversity research: The Biodiversity Exploratories. Basic and applied Ecology, 11(6), 473-485.";NA;NA;NA
"19";"ta14";"bexis_forest_hemiptera";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"insect";"invertebrate";"forestry";"forest";"The data comes from the Biodiversity Explotatories project which was sampled across three different regions of germany. A set of plots sampled in the same region is called an exploratory. Within each exploratory, there are three hierarchical levels of study plots, on which research of different intensity and detail is conducted: (1) about 1000 grid plots (GPs), 500 in grasslands and 500 in forests, which are mainly used for large-scale analyses of biodiversity data and their relationships to land use and other environmental factors, (2) 100 experimental plots (EPs), 50 in grasslands and 50 in forests, which are a selected subset of the respective grid plots serving as a platform for more thorough biodiversity assessment and environmental monitoring, as well as for several manipulative experiments, and (3) 18 very intensive plots (VIPs), half in grasslands and half in forests, which are a subset of the experimental plots used for studying biodiversity or ecological processes in extreme detail or requiring very labour-intensive methods, for which the use of the experimental plots is not feasible. Here, we focused on the level (2) and used the 50 plots of each region combined (N=150 sites), but separated the land use type into forest datasets and grassland datasets.";"Google earth images and ref.";2008;2008;NA;"abundance";"Fischer, M., Bossdorf, O., Gockel, S., Hänsel, F., Hemp, A., Hessenmöller, D., ... & Weisser, W. W. (2010). Implementing large-scale and long-term functional biodiversity research: The Biodiversity Exploratories. Basic and applied Ecology, 11(6), 473-485.";NA;NA;NA
"20";"ta13";"bexis_forest_pitfall_beetles";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"insect";"invertebrate";"forestry";"forest";"The data comes from the Biodiversity Explotatories project which was sampled across three different regions of germany. A set of plots sampled in the same region is called an exploratory. Within each exploratory, there are three hierarchical levels of study plots, on which research of different intensity and detail is conducted: (1) about 1000 grid plots (GPs), 500 in grasslands and 500 in forests, which are mainly used for large-scale analyses of biodiversity data and their relationships to land use and other environmental factors, (2) 100 experimental plots (EPs), 50 in grasslands and 50 in forests, which are a selected subset of the respective grid plots serving as a platform for more thorough biodiversity assessment and environmental monitoring, as well as for several manipulative experiments, and (3) 18 very intensive plots (VIPs), half in grasslands and half in forests, which are a subset of the experimental plots used for studying biodiversity or ecological processes in extreme detail or requiring very labour-intensive methods, for which the use of the experimental plots is not feasible. Here, we focused on the level (2) and used the 50 plots of each region combined (N=150 sites), but separated the land use type into forest datasets and grassland datasets.";"Google earth images and ref.";2008;2008;NA;"abundance";"Fischer, M., Bossdorf, O., Gockel, S., Hänsel, F., Hemp, A., Hessenmöller, D., ... & Weisser, W. W. (2010). Implementing large-scale and long-term functional biodiversity research: The Biodiversity Exploratories. Basic and applied Ecology, 11(6), 473-485.";NA;NA;NA
"21";"tp01";"bexis_forest_plants";"YES";"NA";"NA";"NA";"NA";"BEXIS dataset 25886 (Vegetation Records for 151 Forest EPs, 2009 - 2018)";"Martin suggested";"YES";NA;"terrestrial";"plant";"plant";"forestry";"forest";"The data comes from the Biodiversity Explotatories project which was sampled across three different regions of germany. A set of plots sampled in the same region is called an exploratory. Within each exploratory, there are three hierarchical levels of study plots, on which research of different intensity and detail is conducted: (1) about 1000 grid plots (GPs), 500 in grasslands and 500 in forests, which are mainly used for large-scale analyses of biodiversity data and their relationships to land use and other environmental factors, (2) 100 experimental plots (EPs), 50 in grasslands and 50 in forests, which are a selected subset of the respective grid plots serving as a platform for more thorough biodiversity assessment and environmental monitoring, as well as for several manipulative experiments, and (3) 18 very intensive plots (VIPs), half in grasslands and half in forests, which are a subset of the experimental plots used for studying biodiversity or ecological processes in extreme detail or requiring very labour-intensive methods, for which the use of the experimental plots is not feasible. Here, we focused on the level (2) and used the 50 plots of each region combined (N=150 sites), but separated the land use type into forest datasets and grassland datasets.";"Google earth images and ref.";2015;2015;NA;"abundance";"Fischer, M., Bossdorf, O., Gockel, S., Hänsel, F., Hemp, A., Hessenmöller, D., ... & Weisser, W. W. (2010). Implementing large-scale and long-term functional biodiversity research: The Biodiversity Exploratories. Basic and applied Ecology, 11(6), 473-485.";NA;NA;NA
"22";"ta15";"bexis_forest_spiders";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"insect";"invertebrate";"forestry";"forest";"The data comes from the Biodiversity Explotatories project which was sampled across three different regions of germany. A set of plots sampled in the same region is called an exploratory. Within each exploratory, there are three hierarchical levels of study plots, on which research of different intensity and detail is conducted: (1) about 1000 grid plots (GPs), 500 in grasslands and 500 in forests, which are mainly used for large-scale analyses of biodiversity data and their relationships to land use and other environmental factors, (2) 100 experimental plots (EPs), 50 in grasslands and 50 in forests, which are a selected subset of the respective grid plots serving as a platform for more thorough biodiversity assessment and environmental monitoring, as well as for several manipulative experiments, and (3) 18 very intensive plots (VIPs), half in grasslands and half in forests, which are a subset of the experimental plots used for studying biodiversity or ecological processes in extreme detail or requiring very labour-intensive methods, for which the use of the experimental plots is not feasible. Here, we focused on the level (2) and used the 50 plots of each region combined (N=150 sites), but separated the land use type into forest datasets and grassland datasets.";"Google earth images and ref.";2008;2008;NA;"abundance";"Fischer, M., Bossdorf, O., Gockel, S., Hänsel, F., Hemp, A., Hessenmöller, D., ... & Weisser, W. W. (2010). Implementing large-scale and long-term functional biodiversity research: The Biodiversity Exploratories. Basic and applied Ecology, 11(6), 473-485.";NA;NA;NA
"23";"ai16";"bexis_forest_waterinsects";"NO";"NA";"NA";"NA";"NA";"Martin is the data owner";"Martin suggested";"YES";NA;"aquatic";"waterinsect";"invertebrate";"forestry";"forest";"The data comes from the Biodiversity Explotatories project which was sampled across three different regions of germany. A set of plots sampled in the same region is called an exploratory. Within each exploratory, there are three hierarchical levels of study plots, on which research of different intensity and detail is conducted: (1) about 1000 grid plots (GPs), 500 in grasslands and 500 in forests, which are mainly used for large-scale analyses of biodiversity data and their relationships to land use and other environmental factors, (2) 100 experimental plots (EPs), 50 in grasslands and 50 in forests, which are a selected subset of the respective grid plots serving as a platform for more thorough biodiversity assessment and environmental monitoring, as well as for several manipulative experiments, and (3) 18 very intensive plots (VIPs), half in grasslands and half in forests, which are a subset of the experimental plots used for studying biodiversity or ecological processes in extreme detail or requiring very labour-intensive methods, for which the use of the experimental plots is not feasible. Here, we focused on the level (2) and used the 50 plots of each region combined (N=150 sites), but separated the land use type into forest datasets and grassland datasets.";"Google earth images and ref.";2014;2014;NA;"abundance";"Fischer, M., Bossdorf, O., Gockel, S., Hänsel, F., Hemp, A., Hessenmöller, D., ... & Weisser, W. W. (2010). Implementing large-scale and long-term functional biodiversity research: The Biodiversity Exploratories. Basic and applied Ecology, 11(6), 473-485.";NA;NA;NA
"24";"b04";"bexis_grassland_birds";"YES";"NA";"NA";"NA";"NA";"BEXIS dataset 31521 (Bird survey and trait data on all grassland and forest EPs 2018) (previously not public but now public)";"Martin suggested";"YES";NA;"terrestrial";"bird";"vertebrate";"agriculture";"agriculture";"The data comes from the Biodiversity Explotatories project which was sampled across three different regions of germany. A set of plots sampled in the same region is called an exploratory. Within each exploratory, there are three hierarchical levels of study plots, on which research of different intensity and detail is conducted: (1) about 1000 grid plots (GPs), 500 in grasslands and 500 in forests, which are mainly used for large-scale analyses of biodiversity data and their relationships to land use and other environmental factors, (2) 100 experimental plots (EPs), 50 in grasslands and 50 in forests, which are a selected subset of the respective grid plots serving as a platform for more thorough biodiversity assessment and environmental monitoring, as well as for several manipulative experiments, and (3) 18 very intensive plots (VIPs), half in grasslands and half in forests, which are a subset of the experimental plots used for studying biodiversity or ecological processes in extreme detail or requiring very labour-intensive methods, for which the use of the experimental plots is not feasible. Here, we focused on the level (2) and used the 50 plots of each region combined (N=150 sites), but separated the land use type into forest datasets and grassland datasets.";"Google earth images and ref.";2018;2018;NA;"abundance";"Fischer, M., Bossdorf, O., Gockel, S., Hänsel, F., Hemp, A., Hessenmöller, D., ... & Weisser, W. W. (2010). Implementing large-scale and long-term functional biodiversity research: The Biodiversity Exploratories. Basic and applied Ecology, 11(6), 473-485.";NA;NA;NA
"25";"ta16";"bexis_grassland_pitfall_beetles";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"insect";"invertebrate";"agriculture";"agriculture";"The data comes from the Biodiversity Explotatories project which was sampled across three different regions of germany. A set of plots sampled in the same region is called an exploratory. Within each exploratory, there are three hierarchical levels of study plots, on which research of different intensity and detail is conducted: (1) about 1000 grid plots (GPs), 500 in grasslands and 500 in forests, which are mainly used for large-scale analyses of biodiversity data and their relationships to land use and other environmental factors, (2) 100 experimental plots (EPs), 50 in grasslands and 50 in forests, which are a selected subset of the respective grid plots serving as a platform for more thorough biodiversity assessment and environmental monitoring, as well as for several manipulative experiments, and (3) 18 very intensive plots (VIPs), half in grasslands and half in forests, which are a subset of the experimental plots used for studying biodiversity or ecological processes in extreme detail or requiring very labour-intensive methods, for which the use of the experimental plots is not feasible. Here, we focused on the level (2) and used the 50 plots of each region combined (N=150 sites), but separated the land use type into forest datasets and grassland datasets.";"Google earth images and ref.";2008;2008;NA;"abundance";"Fischer, M., Bossdorf, O., Gockel, S., Hänsel, F., Hemp, A., Hessenmöller, D., ... & Weisser, W. W. (2010). Implementing large-scale and long-term functional biodiversity research: The Biodiversity Exploratories. Basic and applied Ecology, 11(6), 473-485.";NA;NA;NA
